TT	PID	AT	CT	IO_D		WT	RT	TRT	
634	290	289	12	0		333	60	345
639	192	192	12	0		435	87	447
644	85	93	19	6		532	41	551
645	453	643	3	0		2	0	2
645	452	642	3	0		1	0	3
645	451	640	5	0		1	0	5
645	246	243	24	6		378	97	402
649	109	115	22	6		512	51	534
654	52	52	35	5		567	158	602
659	279	280	49	2		330	45	379
671	49	49	42	0		580	57	622
673	274	275	4	3		394	167	398
679	299	297	17	9		365	90	382
680	458	677	4	0		1	0	3
680	457	673	9	0		7	0	7
680	456	671	10	0		1	1	9
680	455	666	14	0		1	0	14
680	454	660	15	0		5	4	20
680	287	286	35	1		359	49	394
687	174	181	25	4		481	45	506
711	10	12	50	0		649	648	699
713	58	58	1	15		654	26	655
716	464	713	3	0		3	0	3
716	463	712	5	0		1	1	4
716	462	703	14	0		1	1	13
716	461	698	18	0		1	0	18
716	459	695	19	0		2	1	21
718	146	148	16	0		554	37	570
718	59	62	11	8		645	42	656
723	120	125	17	8		581	26	598
723	167	173	11	9		539	51	550
725	26	26	27	8		672	34	699
728	67	69	16	0		643	64	659
730	15	15	27	4		688	0	715
736	469	727	10	0		9	0	9
736	468	726	11	0		1	0	10
736	466	723	13	0		1	1	13
736	470	735	2	0		1	0	1
736	467	725	12	0		1	0	11
736	465	719	17	0		1	1	17
736	460	696	18	0		22	21	40
770	60	63	46	0		661	15	707
771	473	764	7	0		1	1	7
771	472	755	16	0		16	0	16
771	471	752	18	0		1	0	19
775	476	774	1	0		1	0	1
775	475	773	3	0		2	1	2
775	474	768	7	0		1	0	7
775	135	139	49	1		587	37	636
775	291	289	10	13		476	65	486
779	183	186	6	4		587	48	593
782	131	136	50	0		596	595	646
784	289	288	13	0		483	80	496
786	477	785	1	0		1	0	1
786	293	294	9	5		483	83	492
786	297	296	16	4		474	84	490
789	101	109	6	4		674	105	680
791	140	143	10	3		638	42	648
794	198	198	39	4		557	58	596
796	225	230	1	6		565	2	566
798	247	244	13	0		541	71	554
800	478	788	12	0		12	0	12
800	193	192	35	4		573	302	608
809	218	220	45	8		544	50	589
812	90	98	48	5		666	425	714
820	479	818	2	0		1	0	2
820	17	17	43	1		760	3	803
841	211	214	46	0		581	71	627
850	480	838	12	0		1	0	12
850	227	230	31	7		589	222	620
850	8	10	48	4		792	33	840
855	7	9	50	4		796	0	846
875	98	104	11	10		760	108	771
877	201	202	15	4		660	57	675
878	69	72	11	7		795	42	806
893	288	287	7	6		599	83	606
901	132	136	16	0		749	300	765
905	13	15	20	12		870	0	890
906	172	177	50	3		679	44	729
908	178	183	1	8		724	1	725
926	151	159	37	4		730	38	767
933	112	116	4	4		813	92	817
936	489	925	12	0		11	0	11
936	488	924	13	0		1	1	12
936	484	905	31	0		1	0	31
936	490	928	9	0		8	0	8
936	487	918	21	0		18	0	18
936	486	917	22	0		19	0	19
936	485	915	22	0		2	1	21
936	483	904	32	0		1	0	32
936	481	888	46	0		2	1	48
937	282	281	9	4		647	53	656
942	144	146	16	2		780	35	796
949	133	137	5	7		807	28	812
952	494	949	35	0		3	0	3
952	492	940	43	0		0	0	12
952	493	942	42	0		0	1	10
952	491	938	45	0		0	0	14
952	482	889	45	0		48	48	63
952	48	49	48	7		855	793	903
955	239	241	13	3		701	34	714
960	113	118	17	5		825	66	842
963	63	68	18	5		877	15	895
965	272	272	5	8		688	152	693
967	46	46	13	8		908	24	921
978	269	268	19	6		691	50	710
983	216	219	17	3		747	136	764
986	177	183	17	5		786	53	803
994	123	129	20	0		845	21	865
999	111	116	31	0		852	60	883
1002	231	235	21	0		746	150	767
1004	97	104	3	6		897	120	900
1006	36	37	15	9		954	95	969
1011	206	210	7	7		794	245	801
1022	196	198	24	10		800	54	824
1024	243	243	2	8		779	63	781
1027	257	256	9	11		762	44	771
1032	182	186	11	3		835	50	846
1036	24	25	10	9		1001	8	1011
1041	104	111	17	5		913	19	930
1043	180	185	23	1		835	364	858
1046	267	265	22	3		759	68	781
1054	124	132	25	0		897	108	922
1057	96	101	4	11		952	109	956
1059	116	118	29	9		912	29	941
1061	205	209	9	5		843	376	852
1064	278	279	30	5		755	38	785
1069	260	259	28	7		782	287	810
1074	45	46	32	5		996	19	1028
1080	189	190	24	2		866	122	890
1085	121	126	25	0		934	20	959
1111	118	122	37	8		952	86	989
1115	77	85	23	15		1007	32	1030
1131	276	276	15	3		840	168	855
1139	171	177	17	4		945	146	962
1144	184	188	13	8		943	51	956
1149	156	164	50	7		935	98	985
1174	240	241	16	2		917	59	933
1180	207	210	25	12		945	185	970
1184	16	16	50	15		1118	30	1168
1185	148	151	36	7		998	41	1034
1190	56	57	41	0		1092	11	1133
1194	150	155	46	8		993	40	1039
1199	106	113	40	12		1046	95	1086
1206	134	138	50	4		1018	54	1068
1218	54	52	26	2		1140	64	1166
1224	31	28	48	0		1148	13	1196
1232	93	100	20	12		1112	26	1132
1248	265	261	20	6		967	79	987
1260	263	261	27	2		972	150	999
1265	300	299	23	9		943	106	966
1286	245	243	17	13		1026	155	1043
1293	161	169	22	3		1102	156	1124
1298	232	237	19	9		1042	156	1061
1304	165	172	21	6		1111	127	1132
